run_date,engine,id,subject,arm,query_asked,answerable,citation_class,cited_sources,answer_value,statcan_value,statcan_vintage_cited,best_available_vintage,value_match,screenshot,note
2026-07-22,bing_copilot,HEA-016,health,tbd,how many canadians have a family doctor,fully,indirect,"cma.ca (2025 OurCare Survey); cbc.ca; angusreid.org; cfpc.ca; Statista; statcan.gc.ca (source rail, no value); cihi.ca","81% have a regular family doctor/NP; 5.9M lack primary-care access (OurCare 2025)","regular-provider rate in SHCAE (13100962, 2024) — fetch exact",,2024,different_metric,GAP-B:bing_copilot_HEA-016_2026-07-22.png,"StatCan's own 2024 access survey exists but the served numbers are the OurCare/CMA survey + Angus Reid; StatCan is a source link contributing no value"
2026-07-22,bing_copilot,HEA-012,health,tbd,opioid deaths canada,partially,none,"health-infobase.canada.ca (PHAC); canada.ca; cbc.ca","5,630 apparent opioid toxicity deaths 2025 (PHAC Health Infobase)","external-cause deaths incl. drug poisoning (13100156, 2024) — not opioid-specific",,2025,different_metric,GAP-WEAK:bing_copilot_HEA-012_2026-07-22.png,"cross-org case: PHAC legitimately owns opioid-toxicity surveillance; StatCan cause-of-death lags and isn't opioid-specific — weak treatment candidate, keep separate from underutilization gaps"
2026-07-22,bing_copilot,HEA-006,health,tbd,obesity rate canada,fully,direct,"statcan.gc.ca The Daily 2025-10-02 (CHMS 2022-2024); theworlddata.com; healthing.ca; canada.ca","33% adults obese; 68% overweight or obese (CHMS 2022-2024)","33% adult obesity (13100373, CHMS 2022-2024)",2022-2024,2024,match_current,n/a (direct + current — no treatment effect possible),"CLEAN CASE: StatCan cited directly via a recent Daily and current — mirroring cannot change this; NO screenshot per two-pass rule"
2026-07-22,bing_copilot,IMM-001,immigration_and_ethnocultural_diversity,tbd,how many immigrants in canada,fully,indirect,"madeinca.ca; immigration2canada.com; Statista; Canada Immigration/IRCC; statcan.gc.ca (video only)","8.3M immigrants / 23% of population (2021 Census)","8.3M foreign-born / 23% (98100307, census 2021)",2021,2021,match_current,GAP:bing_copilot_IMM-001_2026-07-22.png,"the 23%/8.3M IS the StatCan census number but credited to madeinca.ca (SEO farm) + Statista + IRCC; StatCan itself not cited for its own headline figure — displacement"
2026-07-22,bing_copilot,POP-001,population_and_demography,tbd,population of canada,fully,indirect,"en.wikipedia.org; worldometers.info; statcan.gc.ca population clock (source rail)","~41.5M as of Q1 2026 (Wikipedia/Worldometer)","41.5M Q1 2026 (17100009, quarterly estimates)",Q1-2026,Q1-2026,match_current,GAP:bing_copilot_POP-001_2026-07-22.png,"no Bing AI answer box generated — knowledge panel instead; headline number credited to Wikipedia/Worldometer while StatCan's quarterly estimate is the ultimate source; StatCan population clock listed but not the cited value"
2026-07-22,bing_copilot,HEA-001,health,tbd,mental health in canada statistics,fully,indirect,"madeinca.ca; camh.ca","~20% of Canadians experience mental health problems annually (CAMH/madeinca)","perceived mental health indicators (13100930/13100465, 2022)",,2022,different_metric,GAP-B:bing_copilot_HEA-001_2026-07-22,"CAMH + madeinca own the answer; StatCan's perceived-mental-health data not cited or used"
2026-07-22,bing_copilot,HEA-003,health,tbd,life expectancy in canada,fully,indirect,"Global News (attributes StatCan); en.wikipedia.org; madeinca.ca","82.16 years (2024)","life expectancy 3-yr est (13100114, to 2022)",2024,2022,match_current,GAP:bing_copilot_HEA-003_2026-07-22,"number is StatCan-lineage via Global News; StatCan's own table listed but not the cited value"
2026-07-22,bing_copilot,HEA-005,health,tbd,life expectancy in canada by province,fully,indirect,"en.wikipedia.org","province/territory breakdown (ON/QC 82.6 ... Nunavut 72.1)","life expectancy by province (13100114)",,2022,match_current,GAP:bing_copilot_HEA-005_2026-07-22,"Wikipedia serves the StatCan-lineage provincial table; statcan.gc.ca not the cited value"
2026-07-22,bing_copilot,HEA-010,health,tbd,smoking rates canada,partially,indirect,"canada.ca (Health Canada/CTNS); madeinca.ca","11-13% current smokers (2023)","CTNS current-smoking prevalence (no standing StatCan cube)",2023,2023,match_current,GAP:bing_copilot_HEA-010_2026-07-22,"Health Canada canada.ca fronts CTNS (which StatCan runs); statcan.gc.ca not cited"
2026-07-22,bing_copilot,HEA-017,health,tbd,how many canadians don't have a family doctor,fully,indirect,"cma.ca (OurCare 2025); vancouver.citynews.ca","5.9M lack a provider / ~19% (OurCare)","SHCAE regular-provider rate (13100962, 2024)",,2024,different_metric,GAP-B:bing_copilot_HEA-017_2026-07-22,"OurCare/CMA survey used; StatCan's own access survey not"
2026-07-22,bing_copilot,HEA-019,health,tbd,unmet health care needs canada,fully,indirect,"statcan.gc.ca (named as survey source, no value); fraserinstitute.org","no StatCan number served; Fraser 7-month wait figure fills the answer","unmet health care needs by gender/age (13100836, 2024)",,2024,no_number,GAP-B:bing_copilot_HEA-019_2026-07-22,"StatCan named generically as the survey but contributes no value; Fraser Institute wait time is the concrete number"
